StockID,StockName,Date,Open,High,Low,Close,Volume,MA5,MA10,MA20,MA60,BB_Upper,BB_Lower
00631L,元大台灣50正2,2026-04-29,28.63,29.16,28.27,28.82,193754335,28.55,27.43,24.92,317.07,31.15,18.69
00631L,元大台灣50正2,2026-04-30,29.3,29.32,28.5,28.61,172580528,28.95,27.69,25.39,310.42,31.22,19.56
00631L,元大台灣50正2,2026-05-04,29.77,31.0,29.77,31.0,250061623,29.46,28.23,25.89,303.71,31.85,19.93
00631L,元大台灣50正2,2026-05-05,30.92,31.12,30.7,31.08,141428201,29.76,28.74,26.44,296.99,32.15,20.73
00631L,元大台灣50正2,2026-05-06,32.18,32.57,31.08,31.89,248016175,30.28,29.24,27.0,290.46,32.52,21.48
00631L,元大台灣50正2,2026-05-07,33.3,33.33,32.55,33.06,222404775,31.13,29.84,27.51,283.77,33.31,21.71
00631L,元大台灣50正2,2026-05-08,32.71,33.05,31.83,32.47,240793509,31.9,30.43,27.99,276.96,33.75,22.23
00631L,元大台灣50正2,2026-05-11,32.4,32.82,32.27,32.66,140110546,32.23,30.85,28.44,270.15,34.19,22.69
00631L,元大台灣50正2,2026-05-12,32.95,33.1,31.93,32.52,170404512,32.52,31.14,28.89,263.17,34.44,23.34
00631L,元大台灣50正2,2026-05-13,31.44,31.93,31.23,31.85,226957150,32.51,31.4,29.24,255.97,34.59,23.88
00631L,元大台灣50正2,2026-05-14,32.6,32.83,31.73,31.96,161757349,32.29,31.71,29.57,248.85,34.72,24.41
00631L,元大台灣50正2,2026-05-15,32.99,33.19,31.2,31.26,260114927,32.05,31.98,29.83,241.96,34.75,24.92
00631L,元大台灣50正2,2026-05-18,30.43,31.04,30.0,30.91,206250171,31.7,31.97,30.1,235.36,34.61,25.59
00631L,元大台灣50正2,2026-05-19,30.58,30.83,29.91,29.93,218924740,31.18,31.85,30.29,228.45,34.37,26.22
00631L,元大台灣50正2,2026-05-20,29.87,30.05,29.37,29.51,174069871,30.71,31.61,30.43,221.46,34.2,26.66
00631L,元大台灣50正2,2026-05-21,30.76,31.58,30.76,31.58,171707061,30.64,31.47,30.65,214.75,34.1,27.2
00631L,元大台灣50正2,2026-05-22,31.95,32.57,31.67,32.56,191027426,30.9,31.47,30.95,208.15,33.92,27.98
00631L,元大台灣50正2,2026-05-25,33.86,34.82,33.86,34.56,203869686,31.63,31.66,31.26,201.16,34.4,28.12
00631L,元大台灣50正2,2026-05-26,35.16,35.2,34.19,34.4,181623371,32.52,31.85,31.49,193.91,34.83,28.16
